diversity,generated_post,observation_index,seed
0.5,dogs are really just people that should be a good the face of the burned to be the fastion of the sense of from the,1,dogs are really just people that should 
0.55,dogs are really just people that should be in the thought then you the time s someone will be their famoring of mor,1,dogs are really just people that should 
0.6,dogs are really just people that should see the whole constantly to could be them a right of the opposite of a comp,1,dogs are really just people that should 
0.65,dogs are really just people that should have a guy and an and the all the button of people are open would be the on,1,dogs are really just people that should 
0.7,dogs are really just people that should be a spaces what it do they do the end af the more the food of people would,1,dogs are really just people that should 
0.75,dogs are really just people that should be a trying for the ones for because that they say one languager they could,1,dogs are really just people that should 
0.8,dogs are really just people that should power we drink that is become someone who moring a person is hard would be ,1,dogs are really just people that should 
0.85,dogs are really just people that should have to be able to seem it in we like jein you like has no sicket you could,1,dogs are really just people that should 
0.9,dogs are really just people that should never grow better those health pirchiptins time for them is we rick when a ,1,dogs are really just people that should 
0.95,dogs are really just people that should have a vunnology a delead. being a bredd amazacian bir outsort and iverses ,1,dogs are really just people that should 
1.0,dogs are really just people that should be one of one good mean can have less wear. they is today we re difference.,1,dogs are really just people that should 
1.05,dogs are really just people that should be instrance 2 3-3 broke. and if you will come chicken plate for extrionst ,1,dogs are really just people that should 
1.1,"dogs are really just people that should the sound. driving, society they are the rappertures away to suppose if wom",1,dogs are really just people that should 
1.15,"dogs are really just people that should get the same seokers green to pegentle the mooth, but the conserviaty. to d",1,dogs are really just people that should 
1.2,dogs are really just people that should be other numbers disnault to suptrevolve of the charse! but at inside their,1,dogs are really just people that should 
1.25,dogs are really just people that should realline commerts without mind to put your gog to the endint and jax-insepr,1,dogs are really just people that should 
0.1,one of the biggest scams is believing to be a start of the same people are a people are a bad of the same people wo,2,one of the biggest scams is believing to
0.15,one of the biggest scams is believing to be a people would be the same things of the one of the same people are the,2,one of the biggest scams is believing to
0.2,one of the biggest scams is believing to be about a back of the one of the movie of the things of the completely an,2,one of the biggest scams is believing to
0.25,one of the biggest scams is believing to be the other back of the same people with the company. when you want to be,2,one of the biggest scams is believing to
0.3,one of the biggest scams is believing to be a people of the more of the more of the the whole of the future of the ,2,one of the biggest scams is believing to
0.35,one of the biggest scams is believing to the same part of the eating a lot of the other constant of the more on the,2,one of the biggest scams is believing to
0.4,one of the biggest scams is believing to suffer the different a people will be to be a people of the more than ever,2,one of the biggest scams is believing to
0.45,one of the biggest scams is believing to destroying the back of the characters in the people for their back of the ,2,one of the biggest scams is believing to
0.5,one of the biggest scams is believing to be more another and a watch people are in songs that is a company correcti,2,one of the biggest scams is believing to
0.55,one of the biggest scams is believing to the another of a store and if they in the most of the coins of a themselve,2,one of the biggest scams is believing to
0.6,"one of the biggest scams is believing to the new multiply doing because that and some how in garger, if they should",2,one of the biggest scams is believing to
0.65,one of the biggest scams is believing to later people seen a results from efter earth completely picture can t it h,2,one of the biggest scams is believing to
0.7,"one of the biggest scams is believing to you are they re simply calling millions, can t would look is been a last m",2,one of the biggest scams is believing to
0.75,one of the biggest scams is believing to die. at conversation was completely they dont scratter the smrome of facti,2,one of the biggest scams is believing to
0.8,one of the biggest scams is believing to the earth cars walking is should be death on the simply and up? can encola,2,one of the biggest scams is believing to
0.85,one of the biggest scams is believing to know that imment ad the bed and you cricker of culture say? that is either,2,one of the biggest scams is believing to
0.9,one of the biggest scams is believing to been with what if it would throw it get moden that match to finally lose i,2,one of the biggest scams is believing to
0.95,one of the biggest scams is believing to allt than it should be in a from one of opening a floor is that they don t,2,one of the biggest scams is believing to
1.0,one of the biggest scams is believing to time? it s multumal dreaming for didn t make around orden and with one lit,2,one of the biggest scams is believing to
1.05,one of the biggest scams is believing to go a different. neqser of the soup. the probably prosects going to the rea,2,one of the biggest scams is believing to
1.1,one of the biggest scams is believing to better onominumy. just all because they trink of people was someone is vis,2,one of the biggest scams is believing to
1.15,"one of the biggest scams is believing to beow disgin. that ve wazh a lot, aleoth 1 one in , but other merse perfect",2,one of the biggest scams is believing to
1.2,"one of the biggest scams is believing to have 2 match cessful actually vennics, not? or . in stecked? night somethi",2,one of the biggest scams is believing to
1.25,one of the biggest scams is believing to awake face? an extusement who hearing?.! backet is keep ild more from emba,2,one of the biggest scams is believing to
0.1,smart phones are today s version of the same people are the same people are a lot of the same people are a people w,3,smart phones are today s version of the 
0.15,smart phones are today s version of the same people are a completely the same people with the same people are a sta,3,smart phones are today s version of the 
0.2,smart phones are today s version of the same planet than the one of the one of a more of the more of the more of th,3,smart phones are today s version of the 
0.25,smart phones are today s version of the same people would be the people do it s a point of the place that we re the,3,smart phones are today s version of the 
0.3,smart phones are today s version of the same different someone would be a whole bad that has to be some of the same,3,smart phones are today s version of the 
0.35,smart phones are today s version of the more and and the other person and get to be a people of the back of the con,3,smart phones are today s version of the 
0.4,smart phones are today s version of the world than more of the character of the more of the provident that the same,3,smart phones are today s version of the 
0.45,smart phones are today s version of the more control that they make the more to probably be a day and they are a lo,3,smart phones are today s version of the 
0.5,smart phones are today s version of the same mind of the most far more bad to be the one of the same control the th,3,smart phones are today s version of the 
0.55,smart phones are today s version of the one of a whole pasting out becomes an and day. but it was the equivalent of,3,smart phones are today s version of the 
0.6,"smart phones are today s version of the more phones, showar that have someone 10 and it s the cold is in the space ",3,smart phones are today s version of the 
0.65,smart phones are today s version of the world of complex graphing in funny with the earth of a girls is no life we ,3,smart phones are today s version of the 
0.7,"smart phones are today s version of the body entire some work as us some own both of the years are gets there, into",3,smart phones are today s version of the 
0.75,smart phones are today s version of the friend to the millions tracks for one contationship or dont can be more thi,3,smart phones are today s version of the 
0.8,smart phones are today s version of the night do of a month of ering zero could see the oceap true this so cars it ,3,smart phones are today s version of the 
0.85,smart phones are today s version of the human. what dont doesn t have home. if you just really keep them in the hav,3,smart phones are today s version of the 
0.9,smart phones are today s version of the tranans emotion. we would be hasparous back of course very bread away to be,3,smart phones are today s version of the 
0.95,smart phones are today s version of the quid of incarse in the sing life of eaters by abates service. toam enture t,3,smart phones are today s version of the 
1.0,"smart phones are today s version of the incorman falling age, if yourself. the back between pole is solate a 99. co",3,smart phones are today s version of the 
1.05,"smart phones are today s version of the exwitts. shoutht so for is them scrades can inclast he putch, you are first",3,smart phones are today s version of the 
1.1,smart phones are today s version of the mouth ochour take good hgling at outpince. no instarplower from now cents t,3,smart phones are today s version of the 
1.15,smart phones are today s version of the of breath. any seate tspeesese! bocker i giveling sex. song would help at g,3,smart phones are today s version of the 
1.2,smart phones are today s version of the firsion but enveloped and feels. nice madage kidchise quelidy rayple-other ,3,smart phones are today s version of the 
1.25,"smart phones are today s version of the namp fee with, but in yer nood or i have accitely bear queedabline anmoney.",3,smart phones are today s version of the 
0.1,hipster bullies would beat you up just the same people would be a people that is a back of the same people are a ba,4,hipster bullies would beat you up just t
0.15,hipster bullies would beat you up just the same people would be the same people are the same people are the same pe,4,hipster bullies would beat you up just t
0.2,hipster bullies would beat you up just the part of the same people would be the one of the same the more of the mor,4,hipster bullies would beat you up just t
0.25,hipster bullies would beat you up just the same more of the more of the same person of the same person is a life an,4,hipster bullies would beat you up just t
0.3,hipster bullies would beat you up just the same of the same own of the other time for a significal find to be a peo,4,hipster bullies would beat you up just t
0.35,hipster bullies would beat you up just the same the completely considered the more of the future of the more day in,4,hipster bullies would beat you up just t
0.4,hipster bullies would beat you up just the makes the falls of the earth of the all the same movie of the same peopl,4,hipster bullies would beat you up just t
0.45,hipster bullies would beat you up just the one of a first things of them and what they make them in the it would be,4,hipster bullies would beat you up just t
0.5,hipster bullies would beat you up just the most so they could keep the except of the cars of the first cool wearing,4,hipster bullies would beat you up just t
0.55,hipster bullies would beat you up just to be mars they want of a black time that could part of a different person i,4,hipster bullies would beat you up just t
0.6,hipster bullies would beat you up just the search are going in his person. but at a problem. so the time. a planet ,4,hipster bullies would beat you up just t
0.65,hipster bullies would beat you up just the same time. do you are a company has hard conversional over the hearths o,4,hipster bullies would beat you up just t
0.7,hipster bullies would beat you up just the back. then made would stuff in them in this planet than the cloth. and s,4,hipster bullies would beat you up just t
0.75,hipster bullies would beat you up just the whole are be are that showers out hard is the person. or deceriege but a,4,hipster bullies would beat you up just t
0.8,hipster bullies would beat you up just trying become the considered of the time. the ducks at the world. without we,4,hipster bullies would beat you up just t
0.85,hipster bullies would beat you up just the only cop than a be a book should ever smoke about there also 2 up with t,4,hipster bullies would beat you up just t
0.9,"hipster bullies would beat you up just the more as a one equivil stope, are a is corricke during the too of will ta",4,hipster bullies would beat you up just t
0.95,"hipster bullies would beat you up just they still be sense to the same from the ding for a players, with boind of p",4,hipster bullies would beat you up just t
1.0,hipster bullies would beat you up just the preposed stand of the enjoyepicts of a batter and and do we d see the ba,4,hipster bullies would beat you up just t
1.05,"hipster bullies would beat you up just time one seat what half they can used. yet a train. now no know., are decoca",4,hipster bullies would beat you up just t
1.1,"hipster bullies would beat you up just trying our of their room  and sun the 10 of shive thought when first ports, ",4,hipster bullies would beat you up just t
1.15,hipster bullies would beat you up just there is not jokes compitti all that press. but-the bre inta like seepoulary,4,hipster bullies would beat you up just t
1.2,hipster bullies would beat you up just the fmile? if flexion? height pready bactito is before history just 5 wish o,4,hipster bullies would beat you up just t
1.25,"hipster bullies would beat you up just typeberes. so as it treating an orga 86bd you last figurcteal, you were 702.",4,hipster bullies would beat you up just t
0.1,i wish you could just record silence and the same people would be the same people are the same people are a back of,5,i wish you could just record silence and
0.15,i wish you could just record silence and a people with the more of the same people who would be the other one of th,5,i wish you could just record silence and
0.2,i wish you could just record silence and the same time and a bad that is a better than the same people are a comple,5,i wish you could just record silence and
0.25,i wish you could just record silence and a bad that is the time of the movie of the same person with the same peopl,5,i wish you could just record silence and
0.3,i wish you could just record silence and the person is the same person of the people would be a lot of the earth of,5,i wish you could just record silence and
0.35,i wish you could just record silence and part of the more than the more internet and the world to be the company of,5,i wish you could just record silence and
0.4,i wish you could just record silence and then we could be minutes in the only the more different it s the internet ,5,i wish you could just record silence and
0.45,i wish you could just record silence and completely the end of the same does the sitting a possible of the same mor,5,i wish you could just record silence and
0.5,i wish you could just record silence and in how in the food different the were an actually the control. and because,5,i wish you could just record silence and
0.55,i wish you could just record silence and then you are a share is not with a before there were more could be a 10 of,5,i wish you could just record silence and
0.6,i wish you could just record silence and then the public is a someone more in a funny and the particy of a 100 and ,5,i wish you could just record silence and
0.65,i wish you could just record silence and when you want to look the signific hard of the friends and at the terrific,5,i wish you could just record silence and
0.7,i wish you could just record silence and then if they day in a backing stoper. it. like the time. then we thought w,5,i wish you could just record silence and
0.75,"i wish you could just record silence and that and this comment and an in video s farts, i false every far knows is ",5,i wish you could just record silence and
0.8,i wish you could just record silence and blinks would make you too is they re a none around on the onlet and mazbec,5,i wish you could just record silence and
0.85,i wish you could just record silence and the movie of the next in considered in the a time could abilive you all th,5,i wish you could just record silence and
0.9,i wish you could just record silence and deak who listen about the interonce. then all part. not are on in their mo,5,i wish you could just record silence and
0.95,i wish you could just record silence and engs set only actually 2 lubbed for there in that because you nake them. n,5,i wish you could just record silence and
1.0,i wish you could just record silence and the excountable? to be still still say like. good universe of thinking tri,5,i wish you could just record silence and
1.05,i wish you could just record silence and munch happening. i was haw bad about them. you ken. nices probably me expe,5,i wish you could just record silence and
1.1,"i wish you could just record silence and watching rairy, from the funimy remided. you don t compute throw more of f",5,i wish you could just record silence and
1.15,i wish you could just record silence and not my people s small that you are checker when a us benoffacked carcimy a,5,i wish you could just record silence and
1.2,i wish you could just record silence and just do four thing yet other go differencation or openly think? it than wo,5,i wish you could just record silence and
1.25,i wish you could just record silence and the needs. increase puts at no lonker alproille on d romping and born life,5,i wish you could just record silence and
0.1,people will eat the same thing for break and the same people would be the same people are a start of the same that ,6,people will eat the same thing for break
0.15,people will eat the same thing for break that they are a people with the same more than the same person is a people,6,people will eat the same thing for break
0.2,people will eat the same thing for break in the people are the one of the more of the same people would be a start ,6,people will eat the same thing for break
0.25,people will eat the same thing for breaking the and of the more of the world of the same people because it s the pr,6,people will eat the same thing for break
0.3,people will eat the same thing for break to be a people would be a bathroom in the based of the same people are a p,6,people will eat the same thing for break
0.35,people will eat the same thing for break because it was death when you would be the same bad of a lot of the people,6,people will eat the same thing for break
0.4,people will eat the same thing for break in the more than we are for the same rational discover. but they can t be ,6,people will eat the same thing for break
0.45,people will eat the same thing for breaking the concerned of the more of the good the run of a movies and the men t,6,people will eat the same thing for break
0.5,people will eat the same thing for break that post is the first really didn t be a body is the control of make that,6,people will eat the same thing for break
0.55,people will eat the same thing for break on the other least of the eater on the styple in shower of the season of y,6,people will eat the same thing for break
0.6,people will eat the same thing for break of in us become considered the new people with but the same corric photos ,6,people will eat the same thing for break
0.65,people will eat the same thing for breaking a been out. they don t be the each of all the real car values of the sa,6,people will eat the same thing for break
0.7,people will eat the same thing for break to compare and people or grime. they are the skylie because another in dec,6,people will eat the same thing for break
0.75,people will eat the same thing for breaks eating the first and too. and the person then that is it was been shit wo,6,people will eat the same thing for break
0.8,people will eat the same thing for breaks if they are when they can exease sound of the world is a risiter remember,6,people will eat the same thing for break
0.85,people will eat the same thing for break things and in a smartle become getting decention. look of producted and ha,6,people will eat the same thing for break
0.9,people will eat the same thing for breaking trying of only like doing think a people is schoolle. i m have too fina,6,people will eat the same thing for break
0.95,people will eat the same thing for breaking the resprailists of coor. skill we should start for man at a human very,6,people will eat the same thing for break
1.0,people will eat the same thing for breaks as billion and back to shit nevoy many children as they cover cures and 0,6,people will eat the same thing for break
1.05,"people will eat the same thing for breaking, space incraver by ty time beianthe of the vackgrouble builder moders p",6,people will eat the same thing for break
1.1,people will eat the same thing for breaks so that s deday! like severen of well tepresd orinate? a facing her alrea,6,people will eat the same thing for break
1.15,people will eat the same thing for break. and awelive 20? or an life builders seems is no boarking. in anything day,6,people will eat the same thing for break
1.2,people will eat the same thing for break of so.? but they drink yet cause a serissish rangion. down. the humen. ser,6,people will eat the same thing for break
1.25,people will eat the same thing for break tor lotter groom? not day that ais naked purishy and onchhings young in sh,6,people will eat the same thing for break
